route,date,daytype,rides
50,01/05/2014,U,3358
51,01/05/2014,U,515
52,01/05/2014,U,3713
52A,01/05/2014,U,819
53,01/05/2014,U,7357
53A,01/05/2014,U,1319
54,01/05/2014,U,4104
54B,01/05/2014,U,1035
55,01/05/2014,U,4225
56,01/05/2014,U,2835
57,01/05/2014,U,1355
6,01/05/2014,U,4292
60,01/05/2014,U,2872
62,01/05/2014,U,3381
63,01/05/2014,U,6403
63W,01/05/2014,U,316
65,01/05/2014,U,1909
66,01/05/2014,U,8084
67,01/05/2014,U,3903
68,01/05/2014,U,265
70,01/05/2014,U,3473
71,01/05/2014,U,3457
72,01/05/2014,U,6491
73,01/05/2014,U,1158
74,01/05/2014,U,4787
75,01/05/2014,U,2565
76,01/05/2014,U,3843
77,01/05/2014,U,8403
78,01/05/2014,U,2742
79,01/05/2014,U,9310
8,01/05/2014,U,5869
80,01/05/2014,U,4691
81,01/05/2014,U,5614
81W,01/05/2014,U,389
82,01/05/2014,U,5409
84,01/05/2014,U,958
85,01/05/2014,U,3060
87,01/05/2014,U,3613
88,01/05/2014,U,291
8A,01/05/2014,U,790
9,01/05/2014,U,8621
90,01/05/2014,U,1403
91,01/05/2014,U,1924
92,01/05/2014,U,2042
94,01/05/2014,U,2479
95E,01/05/2014,U,1185
95W,01/05/2014,U,1165
97,01/05/2014,U,1214
J14,01/05/2014,U,2116
1,01/06/2014,W,758
100,01/06/2014,W,179
1001,01/06/2014,W,14
103,01/06/2014,W,716
106,01/06/2014,W,384
108,01/06/2014,W,357
11,01/06/2014,W,465
111,01/06/2014,W,1142
111A,01/06/2014,W,34
112,01/06/2014,W,607
115,01/06/2014,W,1223
119,01/06/2014,W,1655
12,01/06/2014,W,5499
120,01/06/2014,W,270
121,01/06/2014,W,382
124,01/06/2014,W,286
125,01/06/2014,W,397
126,01/06/2014,W,1789
132,01/06/2014,W,94
134,01/06/2014,W,1277
135,01/06/2014,W,1602
136,01/06/2014,W,946
143,01/06/2014,W,687
146,01/06/2014,W,4534
147,01/06/2014,W,5056
148,01/06/2014,W,868
15,01/06/2014,W,2425
151,01/06/2014,W,6778
152,01/06/2014,W,2900
155,01/06/2014,W,2823
156,01/06/2014,W,3149
157,01/06/2014,W,1505
165,01/06/2014,W,35
169,01/06/2014,W,59
170,01/06/2014,W,16
171,01/06/2014,W,178
172,01/06/2014,W,342
18,01/06/2014,W,1370
192,01/06/2014,W,210
2,01/06/2014,W,677
20,01/06/2014,W,7665
201,01/06/2014,W,611
205,01/06/2014,W,275
206,01/06/2014,W,108
21,01/06/2014,W,2807
22,01/06/2014,W,7938
24,01/06/2014,W,876
26,01/06/2014,W,1188
28,01/06/2014,W,2202
29,01/06/2014,W,4114
3,01/06/2014,W,5870
30,01/06/2014,W,749
34,01/06/2014,W,2113
35,01/06/2014,W,1726
36,01/06/2014,W,5581
37,01/06/2014,W,806
39,01/06/2014,W,677
4,01/06/2014,W,7539
43,01/06/2014,W,511
44,01/06/2014,W,1254
47,01/06/2014,W,3633
48,01/06/2014,W,287
49,01/06/2014,W,8824
49B,01/06/2014,W,2065
5,01/06/2014,W,254
50,01/06/2014,W,3443
51,01/06/2014,W,654
52,01/06/2014,W,4083
52A,01/06/2014,W,1188
53,01/06/2014,W,7792
53A,01/06/2014,W,1784
54,01/06/2014,W,4393
54A,01/06/2014,W,236
54B,01/06/2014,W,917
55,01/06/2014,W,3615
55A,01/06/2014,W,57
55N,01/06/2014,W,108
56,01/06/2014,W,4139
57,01/06/2014,W,1413
59,01/06/2014,W,1235
6,01/06/2014,W,3377
60,01/06/2014,W,3805
62,01/06/2014,W,3647
62H,01/06/2014,W,326
63,01/06/2014,W,6392
63W,01/06/2014,W,453
65,01/06/2014,W,2906
66,01/06/2014,W,10239
67,01/06/2014,W,4128
68,01/06/2014,W,306
7,01/06/2014,W,1660
70,01/06/2014,W,3481
71,01/06/2014,W,3600
72,01/06/2014,W,5969
73,01/06/2014,W,1672
74,01/06/2014,W,4533
75,01/06/2014,W,2490
76,01/06/2014,W,4748
77,01/06/2014,W,8396
78,01/06/2014,W,2876
79,01/06/2014,W,10171
8,01/06/2014,W,6648
80,01/06/2014,W,4774
81,01/06/2014,W,5508
81W,01/06/2014,W,687
82,01/06/2014,W,5616
84,01/06/2014,W,1143
85,01/06/2014,W,3581
85A,01/06/2014,W,369
86,01/06/2014,W,417
87,01/06/2014,W,4109
88,01/06/2014,W,420
8A,01/06/2014,W,898
9,01/06/2014,W,10480
90,01/06/2014,W,1464
91,01/06/2014,W,2136
92,01/06/2014,W,2268
93,01/06/2014,W,975
94,01/06/2014,W,3395
95E,01/06/2014,W,1220
95W,01/06/2014,W,698
96,01/06/2014,W,256
97,01/06/2014,W,1117
J14,01/06/2014,W,3908
X98,01/06/2014,W,16
1,01/07/2014,W,1271
100,01/07/2014,W,285
1001,01/07/2014,W,41
103,01/07/2014,W,1006
106,01/07/2014,W,417
108,01/07/2014,W,477
11,01/07/2014,W,725
111,01/07/2014,W,1690
111A,01/07/2014,W,76
112,01/07/2014,W,799
115,01/07/2014,W,1744
119,01/07/2014,W,2392
12,01/07/2014,W,7752
120,01/07/2014,W,623
121,01/07/2014,W,1071
124,01/07/2014,W,583
125,01/07/2014,W,1063
126,01/07/2014,W,2971
132,01/07/2014,W,187
134,01/07/2014,W,2701
135,01/07/2014,W,2794
136,01/07/2014,W,1609
143,01/07/2014,W,1523
146,01/07/2014,W,9002
147,01/07/2014,W,8390
148,01/07/2014,W,1832
15,01/07/2014,W,3543
151,01/07/2014,W,10769
152,01/07/2014,W,4967
155,01/07/2014,W,4067
156,01/07/2014,W,6442
157,01/07/2014,W,2874
165,01/07/2014,W,60
169,01/07/2014,W,120
170,01/07/2014,W,345
171,01/07/2014,W,972
172,01/07/2014,W,3900
18,01/07/2014,W,2111
19,01/07/2014,W,247
192,01/07/2014,W,711
2,01/07/2014,W,2110
20,01/07/2014,W,11028
201,01/07/2014,W,998
205,01/07/2014,W,484
206,01/07/2014,W,195
21,01/07/2014,W,4394
22,01/07/2014,W,13219
24,01/07/2014,W,1367
26,01/07/2014,W,1725
28,01/07/2014,W,3382
29,01/07/2014,W,6433
3,01/07/2014,W,9012
30,01/07/2014,W,1222
34,01/07/2014,W,2567
35,01/07/2014,W,2450
36,01/07/2014,W,10088
37,01/07/2014,W,1427
39,01/07/2014,W,1085
4,01/07/2014,W,10597
43,01/07/2014,W,866
44,01/07/2014,W,1974
47,01/07/2014,W,5183
48,01/07/2014,W,435
49,01/07/2014,W,13261
49B,01/07/2014,W,3321
5,01/07/2014,W,271
50,01/07/2014,W,6146
51,01/07/2014,W,722
52,01/07/2014,W,6386
52A,01/07/2014,W,2203
53,01/07/2014,W,10055
53A,01/07/2014,W,2789
54,01/07/2014,W,5871
54A,01/07/2014,W,539
54B,01/07/2014,W,1566
55,01/07/2014,W,5795
55A,01/07/2014,W,114
55N,01/07/2014,W,245
56,01/07/2014,W,6206
57,01/07/2014,W,2197
59,01/07/2014,W,1927
6,01/07/2014,W,6112
60,01/07/2014,W,5765
62,01/07/2014,W,5099
62H,01/07/2014,W,491
63,01/07/2014,W,8364
63W,01/07/2014,W,661
65,01/07/2014,W,5185
66,01/07/2014,W,15906
67,01/07/2014,W,6096
68,01/07/2014,W,600
7,01/07/2014,W,3007
70,01/07/2014,W,5300
71,01/07/2014,W,4433
72,01/07/2014,W,9312
73,01/07/2014,W,2849
74,01/07/2014,W,7626
75,01/07/2014,W,3631
76,01/07/2014,W,8054
77,01/07/2014,W,13762
78,01/07/2014,W,4486
79,01/07/2014,W,14323
8,01/07/2014,W,11531
80,01/07/2014,W,8078
81,01/07/2014,W,7714
81W,01/07/2014,W,921
82,01/07/2014,W,8963
84,01/07/2014,W,2053
85,01/07/2014,W,5441
85A,01/07/2014,W,533
86,01/07/2014,W,662
87,01/07/2014,W,5968
88,01/07/2014,W,710
8A,01/07/2014,W,1244
9,01/07/2014,W,14636
90,01/07/2014,W,2496
91,01/07/2014,W,3377
92,01/07/2014,W,3549
93,01/07/2014,W,1617
94,01/07/2014,W,4661
95E,01/07/2014,W,1863
95W,01/07/2014,W,1135
96,01/07/2014,W,394
97,01/07/2014,W,2003
J14,01/07/2014,W,6145
X98,01/07/2014,W,8
1,01/08/2014,W,1996
100,01/08/2014,W,607
1001,01/08/2014,W,62
103,01/08/2014,W,2657
106,01/08/2014,W,1581
108,01/08/2014,W,1323
11,01/08/2014,W,1450
111,01/08/2014,W,3417
111A,01/08/2014,W,107
112,01/08/2014,W,2057
115,01/08/2014,W,3349
119,01/08/2014,W,3791
12,01/08/2014,W,12172
120,01/08/2014,W,1458
121,01/08/2014,W,1750
124,01/08/2014,W,934
125,01/08/2014,W,1721
126,01/08/2014,W,5672
132,01/08/2014,W,338
134,01/08/2014,W,3550
135,01/08/2014,W,3546
136,01/08/2014,W,2110
143,01/08/2014,W,2034
146,01/08/2014,W,12573
147,01/08/2014,W,10978
148,01/08/2014,W,2413
15,01/08/2014,W,6798
151,01/08/2014,W,15874
152,01/08/2014,W,9289
155,01/08/2014,W,6008
156,01/08/2014,W,8750
157,01/08/2014,W,4802
165,01/08/2014,W,132
169,01/08/2014,W,188
170,01/08/2014,W,333
171,01/08/2014,W,1436
172,01/08/2014,W,3361
18,01/08/2014,W,3686
19,01/08/2014,W,446
192,01/08/2014,W,955
2,01/08/2014,W,3200
20,01/08/2014,W,18177
201,01/08/2014,W,1735
205,01/08/2014,W,847
206,01/08/2014,W,706
21,01/08/2014,W,7228
22,01/08/2014,W,19454
24,01/08/2014,W,2778
26,01/08/2014,W,2968
28,01/08/2014,W,6071
29,01/08/2014,W,11553
3,01/08/2014,W,16767
30,01/08/2014,W,2541
34,01/08/2014,W,4588
35,01/08/2014,W,4501
36,01/08/2014,W,13378
37,01/08/2014,W,1742
39,01/08/2014,W,1854
4,01/08/2014,W,18492
43,01/08/2014,W,1533
44,01/08/2014,W,3964
47,01/08/2014,W,8301
48,01/08/2014,W,1048
49,01/08/2014,W,23401
49B,01/08/2014,W,5156
5,01/08/2014,W,367
50,01/08/2014,W,9111
51,01/08/2014,W,1370
52,01/08/2014,W,11313
52A,01/08/2014,W,3891
53,01/08/2014,W,18159
53A,01/08/2014,W,6309
54,01/08/2014,W,9937
54A,01/08/2014,W,827
54B,01/08/2014,W,2478
55,01/08/2014,W,10196
55A,01/08/2014,W,283
55N,01/08/2014,W,434
56,01/08/2014,W,9372
57,01/08/2014,W,4092
59,01/08/2014,W,3338
6,01/08/2014,W,9575
60,01/08/2014,W,9366
62,01/08/2014,W,9584
62H,01/08/2014,W,771
63,01/08/2014,W,16283
63W,01/08/2014,W,1219
65,01/08/2014,W,8042
66,01/08/2014,W,24335
67,01/08/2014,W,11060
68,01/08/2014,W,1305
7,01/08/2014,W,4970
70,01/08/2014,W,8806
71,01/08/2014,W,7656
72,01/08/2014,W,14638
73,01/08/2014,W,4724
74,01/08/2014,W,11820
75,01/08/2014,W,6938
76,01/08/2014,W,11018
77,01/08/2014,W,20074
78,01/08/2014,W,7720
79,01/08/2014,W,23223
8,01/08/2014,W,18592
80,01/08/2014,W,11943
81,01/08/2014,W,11244
81W,01/08/2014,W,1625
82,01/08/2014,W,18222
84,01/08/2014,W,3475
85,01/08/2014,W,9436
85A,01/08/2014,W,811
86,01/08/2014,W,2324
87,01/08/2014,W,10546
88,01/08/2014,W,1269
8A,01/08/2014,W,2705
9,01/08/2014,W,25558
90,01/08/2014,W,4133
91,01/08/2014,W,5604
92,01/08/2014,W,6429
93,01/08/2014,W,2948
94,01/08/2014,W,8223
95E,01/08/2014,W,3449
95W,01/08/2014,W,2102
96,01/08/2014,W,701
97,01/08/2014,W,2815
J14,01/08/2014,W,10330
X98,01/08/2014,W,21
1,01/09/2014,W,2275
100,01/09/2014,W,758
1001,01/09/2014,W,25
103,01/09/2014,W,2718
106,01/09/2014,W,1721
108,01/09/2014,W,1522
11,01/09/2014,W,1303
111,01/09/2014,W,3610
111A,01/09/2014,W,93
112,01/09/2014,W,2143
115,01/09/2014,W,3880
119,01/09/2014,W,4669
12,01/09/2014,W,12691
120,01/09/2014,W,1234
121,01/09/2014,W,1772
124,01/09/2014,W,882
125,01/09/2014,W,1781
126,01/09/2014,W,6231
132,01/09/2014,W,323
134,01/09/2014,W,3427
135,01/09/2014,W,3550
136,01/09/2014,W,2036
143,01/09/2014,W,2004
146,01/09/2014,W,13183
147,01/09/2014,W,11719
148,01/09/2014,W,2238
15,01/09/2014,W,7315
151,01/09/2014,W,16650
152,01/09/2014,W,10104
155,01/09/2014,W,5635
156,01/09/2014,W,8418
157,01/09/2014,W,4972
165,01/09/2014,W,85
169,01/09/2014,W,219
170,01/09/2014,W,598
171,01/09/2014,W,966
172,01/09/2014,W,2764
18,01/09/2014,W,3802
19,01/09/2014,W,288
192,01/09/2014,W,943
2,01/09/2014,W,3490
20,01/09/2014,W,19260
201,01/09/2014,W,1888
205,01/09/2014,W,864
206,01/09/2014,W,885
21,01/09/2014,W,7779
22,01/09/2014,W,19340
24,01/09/2014,W,3028
26,01/09/2014,W,3251
28,01/09/2014,W,7093
29,01/09/2014,W,13074
3,01/09/2014,W,18658
30,01/09/2014,W,3196
34,01/09/2014,W,5280
35,01/09/2014,W,5219
36,01/09/2014,W,11653
37,01/09/2014,W,1755
39,01/09/2014,W,1976
4,01/09/2014,W,19124
43,01/09/2014,W,1746
44,01/09/2014,W,4194
47,01/09/2014,W,9515
48,01/09/2014,W,1362
49,01/09/2014,W,24303
49B,01/09/2014,W,5291
5,01/09/2014,W,483
50,01/09/2014,W,10326
51,01/09/2014,W,1667
52,01/09/2014,W,11639
52A,01/09/2014,W,4639
53,01/09/2014,W,18900
53A,01/09/2014,W,6899
54,01/09/2014,W,10773
54A,01/09/2014,W,871
54B,01/09/2014,W,2906
55,01/09/2014,W,11310
55A,01/09/2014,W,289
55N,01/09/2014,W,557
56,01/09/2014,W,9414
57,01/09/2014,W,4562
59,01/09/2014,W,3454
6,01/09/2014,W,10114
60,01/09/2014,W,10365
62,01/09/2014,W,10015
62H,01/09/2014,W,1030
63,01/09/2014,W,17528
63W,01/09/2014,W,1130
65,01/09/2014,W,8053
66,01/09/2014,W,25382
67,01/09/2014,W,11876
68,01/09/2014,W,1294
7,01/09/2014,W,5554
70,01/09/2014,W,9141
71,01/09/2014,W,8953
72,01/09/2014,W,15804
73,01/09/2014,W,5528
74,01/09/2014,W,12825
75,01/09/2014,W,7363
76,01/09/2014,W,12239
77,01/09/2014,W,22222
78,01/09/2014,W,7632
